Código do Município;Município;Estado;Ano de Referência;Unidades;Nome da Unidade;UP007 - Quantidade de RDO e RPU recebida na unidade de processamento;UP008 - Quantidade de RSS recebida na unidade de processamento;UP009 - Quantidade de RIN recebida na unidade de processamento;UP010 - Quantidade de RCC recebida na unidade de processamento;UP011 - Quantidade de outros tipos de resíduos recebida na unidade de processamento;UP025 - Municípios de origem dos resíduos;UP067 - Quantidade de RPO recebida na unidade de processamento;UP080 - Quantidade total de resíduos recebida na unidade de processamento por cada município;UP003 - Tipo de unidade;UP004 - Operador da unidade
210720;Nina Rodrigues;MA;2019;4639;Aterro sanitário;1550;0;;0;0;Nina Rodrigues/MA;0;1550;Aterro controlado;Prefeitura ou SLU
210735;Nova Olinda do Maranhão;MA;2019;5944;Aterro sanitario de nova olinda;4735;0;;50;35;Nova Olinda do Maranhão/MA;0;4820;Aterro controlado;Prefeitura ou SLU
210770;Paraibano;MA;2019;3112;Lixão de Paraibano;14350;0;;0;0;Paraibano/MA;0;14350;Lixão;Prefeitura ou SLU
210800;Pastos Bons;MA;2019;5729;Lixão Controlado;3600;0;;0;0;Pastos Bons/MA;0;3600;Lixão;Prefeitura ou SLU
210820;Pedreiras;MA;2019;4107;Lixão;11955;0;;0;0;Pedreiras/MA;0;11955;Lixão;Prefeitura ou SLU
210820;Pedreiras;MA;2019;10271;Vala RSS;;2;;;;Pedreiras/MA;;2;Vala especifica de RSS;Empresa privada
210890;Poção de Pedras;MA;2019;4810;Lixão;1750;0;;0;0;Poção de Pedras/MA;0;1750;Lixão;Prefeitura ou SLU
210940;Primeira Cruz;MA;2019;2982;LIXÃO EM VALA;1440;0;;0;0;Primeira Cruz/MA;0;1440;Lixão;Prefeitura ou SLU
210960;Rosário;MA;2019;9077;Aterro Sanitário;4424;0;;0;0;Rosário/MA;0;4424;Aterro sanitário;Empresa privada
210960;Rosário;MA;2019;9077;Aterro Sanitário;436771,2;0;;0;0;São Luís/MA;0;436771,2;Aterro sanitário;Empresa privada
210970;Sambaíba;MA;2019;2109704000;lixão;433;0;;0;0;Sambaíba/MA;0;433;Lixão;Empresa privada
211000;Santa Luzia;MA;2019;10221;COOCARESL;4365,7;;;;;Santa Luzia/MA;;4365,7;Unidade de triagem (galpão ou usina);Associação de catadores
211000;Santa Luzia;MA;2019;2110004000;Lixão de Santa Luzia;22715;0;;0;0;Santa Luzia/MA;0;22715;Lixão;Prefeitura ou SLU
211010;Santa Quitéria do Maranhão;MA;2019;8885;lixão municipal;10000;0;;0;0;Santa Quitéria do Maranhão/MA;0;10000;Lixão;Prefeitura ou SLU
211027;Santo Amaro do Maranhão;MA;2019;9389;Lixão de Santo Amaro;468;0;;0;0;Santo Amaro do Maranhão/MA;0;468;Lixão;Prefeitura ou SLU
211107;São João do Soter;MA;2019;2111074000;LIXÃO DA BAIXA FUNDA;4703;4696,8;;2;0;São João do Soter/MA;6,2;9408;Lixão;Empresa privada
211110;São João dos Patos;MA;2019;2004;Lixão;7000;0;;800;0;São João dos Patos/MA;0;7800;Lixão;Prefeitura ou SLU
211150;São Mateus do Maranhão;MA;2019;8044;LIXÃO MUNICIPAL;30000;4000;;3000;1000;São Mateus do Maranhão/MA;2000;40000;Lixão;Prefeitura ou SLU
211160;São Raimundo das Mangabeiras;MA;2019;2111604000;ATERRO CONTROLADO DE SÃO RAIMUNDO DAS MANGABEIR;2300;0;;1800;0;São Raimundo das Mangabeiras/MA;0;4100;Aterro controlado;Prefeitura ou SLU
211174;Senador Alexandre Costa;MA;2019;7456;LIXÃO DA BR;5200;7,9;;103;0;Senador Alexandre Costa/MA;0;5310,9;Lixão;Prefeitura ou SLU
211220;Timon;MA;2019;2112204000;Lixão;100000;0;;0;0;Timon/MA;0;100000;Lixão;Prefeitura ou SLU
211220;Timon;MA;2019;2112204001;Fabrica de Reciclagem;700;;;;;Timon/MA;;700;Unidade de triagem (galpão ou usina);Prefeitura ou SLU
211223;Trizidela do Vale;MA;2019;3395;lixão;3456;0;;0;0;Trizidela do Vale/MA;0;3456;Aterro controlado;Prefeitura ou SLU
211270;Vargem Grande;MA;2019;8923;LIXÃO DE VARGEM GRANDE;7776;0;;0;0;Vargem Grande/MA;0;7776;Lixão;Prefeitura ou SLU
211300;Vitorino Freire;MA;2019;2113004000;Lixão do Liberato;15000;0;;0;0;Vitorino Freire/MA;0;15000;Lixão;Prefeitura ou SLU
TOTAL da AMOSTRA:;---;---;---;---;---;;;;;;;;;;
